Date,Date Value,Open,High,Low,Close,Adj Close,Volume
2018-12-10,1,139.600006,143.050003,139.009995,141.850006,141.850006,26422200
2018-12-11,2,143.880005,143.880005,141.100006,142.080002,142.080002,20300300
2018-12-12,3,143.080002,147.190002,142.509995,144.5,144.5,23696900
2018-12-13,4,145.570007,145.850006,143.190002,145.009995,145.009995,18148600
2018-12-14,5,143.339996,146.009995,142.509995,144.059998,144.059998,21785800
2018-12-17,6,143.080002,144.919998,138.419998,140.190002,140.190002,24334000
2018-12-18,7,141.080002,145.929993,139.830002,143.660004,143.660004,24709100
2018-12-19,8,141.210007,144.910004,132.5,133.240005,133.240005,57404900
2018-12-20,9,130.699997,135.570007,130,133.399994,133.399994,40297900
2018-12-21,10,133.389999,134.899994,123.419998,124.949997,124.949997,56901500
2018-12-24,11,123.099998,129.740005,123.019997,124.059998,124.059998,22066000
2018-12-26,12,126,134.240005,125.889999,134.179993,134.179993,39723400
2018-12-27,13,132.440002,134.990005,129.669998,134.520004,134.520004,31202500
2018-12-28,14,135.339996,135.919998,132.199997,133.199997,133.199997,22627600
2018-12-31,15,134.449997,134.639999,129.949997,131.089996,131.089996,24625300
2019-01-02,16,128.990005,137.509995,128.559998,135.679993,135.679993,28146200
2019-01-03,17,134.690002,137.169998,131.119995,131.740005,131.740005,22717900
2019-01-04,18,134.009995,138,133.75,137.949997,137.949997,29002100
2019-01-07,19,137.559998,138.869995,135.910004,138.050003,138.050003,20089300
2019-01-08,20,139.889999,143.139999,139.539993,142.529999,142.529999,26263800
2019-01-09,21,142.949997,144.699997,141.270004,144.229996,144.229996,22205900
2019-01-10,22,143.080002,144.559998,140.839996,144.199997,144.199997,16125000
2019-01-11,23,143.149994,145.360001,142.570007,143.800003,143.800003,12908000
2019-01-14,24,142,146.570007,141.270004,145.389999,145.389999,20520300
2019-01-15,25,146.009995,150.679993,145.990005,148.949997,148.949997,24069000
2019-01-16,26,149,149.649994,147,147.539993,147.539993,18025700
2019-01-17,27,146.949997,149,146.5,148.300003,148.300003,15787900
2019-01-18,28,149.75,152.429993,148.550003,150.039993,150.039993,31029600
2019-01-22,29,149.199997,151.529999,146.369995,147.570007,147.570007,22378700
2019-01-23,30,148.279999,148.800003,143.059998,144.300003,144.300003,20098400
2019-01-24,31,144.639999,146.440002,142.520004,145.830002,145.830002,20955500
2019-01-25,32,147.479996,149.830002,146.539993,149.009995,149.009995,22237200
2019-01-28,33,148.050003,148.960007,146.210007,147.470001,147.470001,15508500
2019-01-29,34,148.089996,148.100006,143.429993,144.190002,144.190002,17632100
2019-01-30,35,146.220001,150.949997,145.699997,150.419998,150.419998,44613200
2019-01-31,36,165.600006,171.679993,165,166.690002,166.690002,77233600
2019-02-01,37,165.839996,169.100006,165.660004,165.710007,165.710007,30806500
2019-02-04,38,165.699997,169.300003,163.619995,169.25,169.25,20036000
2019-02-05,39,169.149994,171.979996,168.690002,171.160004,171.160004,22557000
2019-02-06,40,171.199997,172.470001,169.270004,170.490005,170.490005,13281200
2019-02-07,41,168.199997,169.240005,165.25,166.380005,166.380005,17517600
2019-02-08,42,164.470001,167.369995,164.210007,167.330002,167.330002,12561400
2019-02-11,43,167.899994,168.300003,165.080002,165.789993,165.789993,12811200
2019-02-12,44,166.860001,168.339996,164.5,165.039993,165.039993,16292300
2019-02-13,45,165.380005,166.220001,163.729996,164.070007,164.070007,14205100
2019-02-14,46,163.190002,164.869995,162.25,163.949997,163.949997,12755200
2019-02-15,47,164.509995,164.699997,160.860001,162.5,162.5,15504400
2019-02-19,48,160.5,164.149994,160.330002,162.289993,162.289993,14345400
