Date,Date Value,Open,High,Low,Close,Adj Close,Volume
2018-12-10,1,165,170.089996,163.330002,169.600006,167.089478,62026000
2018-12-11,2,171.660004,171.789993,167,168.630005,166.13385,47281700
2018-12-12,3,170.399994,171.919998,169.020004,169.100006,166.596878,35627700
2018-12-13,4,170.490005,172.570007,169.550003,170.949997,168.419479,31898600
2018-12-14,5,169,169.080002,165.279999,165.479996,163.030457,40703700
2018-12-17,6,165.449997,168.350006,162.729996,163.940002,161.51326,44287900
2018-12-18,7,165.380005,167.529999,164.389999,166.070007,163.61174,33841500
2018-12-19,8,166,167.449997,159.089996,160.889999,158.508408,49047300
2018-12-20,9,160.399994,162.110001,155.300003,156.830002,154.508499,64773000
2018-12-21,10,156.860001,158.160004,149.630005,150.729996,148.498795,95744600
2018-12-24,11,148.149994,151.550003,146.589996,146.830002,144.65654,37169200
2018-12-26,12,148.300003,157.229996,146.720001,157.169998,154.843475,58582500
2018-12-27,13,155.839996,156.770004,150.070007,156.149994,153.838562,53117100
2018-12-28,14,157.5,158.520004,154.550003,156.229996,153.917389,42291400
2018-12-31,15,158.529999,159.360001,156.479996,157.740005,155.405045,35003500
2019-01-02,16,154.889999,158.850006,154.229996,157.919998,155.582367,37039700
2019-01-03,17,143.979996,145.720001,142,142.190002,140.08522,91312200
2019-01-04,18,144.529999,148.550003,143.800003,148.259995,146.065353,58607100
2019-01-07,19,148.699997,148.830002,145.899994,147.929993,145.740265,54777800
2019-01-08,20,149.559998,151.820007,148.520004,150.75,148.518509,41025300
2019-01-09,21,151.289993,154.529999,149.630005,153.309998,151.040604,45099100
2019-01-10,22,152.5,153.970001,150.860001,153.800003,151.523376,35780700
2019-01-11,23,152.880005,153.699997,151.509995,152.289993,150.035706,27023200
2019-01-14,24,150.850006,151.270004,149.220001,150,147.779602,32439200
2019-01-15,25,150.270004,153.389999,150.050003,153.070007,150.804169,28710900
2019-01-16,26,153.080002,155.880005,153,154.940002,152.646484,30569700
2019-01-17,27,154.199997,157.660004,153.259995,155.860001,153.552872,29821200
2019-01-18,28,157.5,157.880005,155.979996,156.820007,154.498657,33751000
2019-01-22,29,156.410004,156.729996,152.619995,153.300003,151.030777,30394000
2019-01-23,30,154.149994,155.139999,151.699997,153.919998,151.641586,23130600
2019-01-24,31,154.110001,154.479996,151.740005,152.699997,150.439636,25441500
2019-01-25,32,155.479996,158.130005,154.320007,157.759995,155.424744,33535500
2019-01-28,33,155.789993,156.330002,153.660004,156.300003,153.986359,26192100
2019-01-29,34,156.25,158.130005,154.110001,154.679993,152.39032,41587200
2019-01-30,35,163.25,166.149994,160.229996,165.25,162.803864,61109800
2019-01-31,36,166.110001,169,164.559998,166.440002,163.976242,40739600
2019-02-01,37,166.960007,168.979996,165.929993,166.520004,164.055069,32668100
2019-02-04,38,167.410004,171.660004,167.279999,171.25,168.715042,31495500
2019-02-05,39,172.860001,175.080002,172.350006,174.179993,171.601685,36101600
2019-02-06,40,174.649994,175.570007,172.850006,174.240005,171.660797,28239600
2019-02-07,41,172.399994,173.940002,170.339996,170.940002,168.409653,31741700
2019-02-08,42,168.990005,170.660004,168.419998,170.410004,168.607529,23820000
2019-02-11,43,171.050003,171.210007,169.25,169.429993,167.637878,20993400
2019-02-12,44,170.100006,171,169.699997,170.889999,169.082443,22283500
2019-02-13,45,171.389999,172.479996,169.919998,170.179993,168.379944,22490200
2019-02-14,46,169.710007,171.259995,169.380005,170.800003,168.993408,21835700
2019-02-15,47,171.25,171.699997,169.75,170.419998,168.617432,24626800
2019-02-19,48,169.710007,171.440002,169.490005,170.929993,169.122009,18972800
2019-02-20,49,171.190002,173.320007,170.990005,172.029999,170.210388,26114400
2019-02-21,50,171.800003,172.369995,170.300003,171.059998,169.250656,17249700
2019-02-22,51,171.580002,173,171.380005,172.970001,171.140442,18913200
2019-02-25,52,174.160004,175.869995,173.949997,174.229996,172.387115,21873400
2019-02-26,53,173.710007,175.300003,173.169998,174.330002,172.486053,17070200
2019-02-27,54,173.210007,175,172.729996,174.869995,173.02034,27835400
2019-02-28,55,174.320007,174.910004,172.919998,173.149994,171.318542,28215400
2019-03-01,56,174.279999,175.149994,172.889999,174.970001,173.119278,25886200
2019-03-04,57,175.690002,177.75,173.970001,175.850006,173.98999,27436200
2019-03-05,58,175.940002,176,174.539993,175.529999,173.67337,19737400
2019-03-06,59,174.669998,175.490005,173.940002,174.520004,172.674057,20810400
2019-03-07,60,173.869995,174.440002,172.020004,172.5,170.675415,24796400
2019-03-08,61,170.320007,173.070007,169.5,172.910004,171.081085,23999400
2019-03-11,62,175.490005,179.119995,175.350006,178.899994,177.007706,32011000
2019-03-12,63,180,182.669998,179.369995,180.910004,178.996475,32467600
2019-03-13,64,182.25,183.300003,180.919998,181.710007,179.787994,31032500
2019-03-14,65,183.899994,184.100006,182.559998,183.729996,181.786621,23579500
2019-03-15,66,184.850006,187.330002,183.740005,186.119995,184.151337,39042900
2019-03-18,67,185.800003,188.389999,185.789993,188.020004,186.031265,26219800
2019-03-19,68,188.350006,188.990005,185.919998,186.529999,184.557022,31646400
2019-03-20,69,186.229996,189.490005,184.729996,188.160004,186.169785,31035200
2019-03-21,70,190.020004,196.330002,189.809998,195.089996,193.026459,51034200
2019-03-22,71,195.339996,197.690002,190.779999,191.050003,189.029205,42407700
2019-03-25,72,191.509995,191.979996,186.600006,188.740005,186.743637,43845300
2019-03-26,73,191.660004,192.880005,184.580002,186.789993,184.814255,49800500
